Roll,Pitch,Yaw
0.04,0,0.14
0.04,0,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.15
0.04,0.01,0.15
0.04,0,0.14
0.04,0,0.14
0.04,0,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.04,0.02,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.04,0.02,0.14
0.04,0.02,0.14
0.04,0,0.14
0.04,0.01,0.15
0.04,0.01,0.15
0.04,0.02,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.04,0.01,0.14
0.04,0.02,0.14
0.04,0.02,0.14
0.04,0.02,0.14
0.04,0.02,0.14
0.04,0.01,0.14
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.02,0.14
0.04,0.02,0.12
0.04,0.01,0.12
0.04,0.02,0.14
0.04,0.02,0.14
0.04,0.01,0.14
0.04,0.01,0.12
0.05,0.02,0.14
0.04,0.02,0.14
0.04,0.02,0.14
0.05,0.02,0.14
0.05,0.02,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.04,0.02,0.14
0.04,0.02,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.04,0.01,0.12
0.04,0.02,0.14
0.04,0.02,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.04,0.01,0.12
0.04,0.01,0.14
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.01,0.12
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.03,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.01,0.12
0.04,0.02,0.12
